order_id,distance
d7f5321a3029c895a6b79c1ebdd8a222,1603
d7f6ace2a350940d10999a89ceb44d72,2951
d7f7e1d5e79250921c5be8d5ad0d4824,1241
d7f7f3b19ccf1b6ee1f4b876df47e9ff,417
d7f7f7e7d5d70c736d9d3f8b9ce10e94,1173
d7f99a9d27a65a88e4aba096e5ba4a47,213
d7fba1b443490052282949e0f188dff7,1061
d7fd2bd860b186de1db4ac71b5d29b84,472
d7ff97f4c7ab6c9a6ba9cfa8db9b04b9,1140
d7fff2e689eef0b359f58c2dbc4084e6,1482
d800296ed7f572eaa43c580857d3674d,621
d801ba7b9484d3de19c2c002d5c668ce,1075
d80251514bbd83a5bb165f6e5667c6f2,2762
d80272e7d2cde76157c01c03b3deebcc,25.3
d802b8adcfb2cc03772c0645c9257a4a,546
d805508e2cdf3a5b1453bc2eb0371880,2008
d80681e64c64ae8f7056f86223e646b7,208
d806cef0dbcf2273fe3d4a339e0c74f5,600
d807318c6ed8193c569cad0f755131fa,602
d80799e45b1938827bfd57d8ee9b3c50,1458
d8094f20356ae7f08b20de937ea31041,96.3
d8097587799efe19a24233909b0513c4,897
d809c236053cf2dc908107360b97302e,1162
d809ddde66fee6223df16b11231491f9,814
d80acd042318a15fe9be8faa8ee23d06,778
d80b2f94bd1ae8c94f10c5084b1ee36a,25.7
d80b473a1e39c2640618ae7d6e181f4d,24.3
d80b6cf3c5089af37bc9dae7cbafc3b7,661
d80bc8900db383324d145cfb1c1aa854,1185
d80cfaf2ed047f9e77f5640df7246b64,2876
d80dec5549fb36ee6d86d10494aa5d89,1045
d80e0abae74765187eb4970037b244c8,74.2
d80f284c3b6c572dbefb068c5c0d296d,2825
d80f699fe4f9cb9ee6be99a1ff5c3944,1813
d80faf302bbccea1f0b613d440de4d33,195
d81092e5b4741adbb395bb5aba884c36,655
d810d97339fb343826dab7ddf6e17f95,38.7
d81156ef56e9f63131e4286930b47b89,2732
d813035bf048e38cbc188dec25b228c9,567
d813a46a477d66e2ec086449ba297297,884
d813e348dc770d6502142ea26ace4156,33.6
d8148e06f2f2b366a0c8df064103223b,1054
d81520699c4e69201429ec07d1d92213,893
d8159fecf6cf88c5f33174f70c304037,123
