order_id,distance
6c1d2589bb92157989da84b6f7ac8ef6,46.9
6c1e09e4c733fbc610ee1737436f8a5b,2940
6c207e919b89964cc8083c67b373e496,1162
6c20aa516c6c94293fe199a1a90cd907,225
6c20d70e7c720f7895651a703e320b86,428
6c214c3ee7e08a8b8c20d95d7e7ba215,141
6c21f6a1d56c99f439fe378d0ac026f2,65.1
6c2208178d59f2c0518261028373f5fd,85.9
6c2332524797ccf47797e85207250b4a,78.7
6c2387fc5fc6d5e9a192766eb6e75da5,790
6c23e2678bf779526bbb96776800a471,489
6c23fe4c807bfd4e197fe866a197b689,1034
6c240e91c9702ad9f9837dc329aaf475,185
6c241acf57ed5ad34e75d73e49f80f0e,34.8
6c269e3a9b9ff5370697cb124cbc63ce,456
6c273b11e7a7b4b410ea29fac9769fac,2760
6c27984bddb654e222cd1b9a238d2e74,120
6c28a6a98f83b0405d2bfc4ba655e15b,601
6c28b1d1bade1e274dc893aaf8b0535d,590
6c28cf68e8389e5024135b3d33d8a987,610
6c2953724cd30669e1b904e179a2346f,353
6c29a1600608d3f50e40bb2543cc32e1,2321
6c2a52b8ca498855b567ef1e5577940a,14.1
6c2af5efcf8e3d632c9b27ea8b422d2f,865
6c2c28420cb6865ced69f6c260c27c24,664
6c2c70815110121a6d8183b1f605bce0,107
6c2cca976997714885ca36d89144280f,371
6c2d59da80e4b0747579205a5f797713,36.2
6c2d7d5f598317a20719a7e5f5487ece,24.7
6c2dcfbb6b7343d1baeb186ccfc217f0,2732
6c2df3329834884b60365f14e084c043,153
6c2df403c867a6aa913b387d92999d43,276
6c2ef493d3908b2a6046a0668f52e87c,657
6c2f233beab45c66d7ae29bc584339cb,944
6c2f4118a5a723bdbd456e2bcc7d85c5,905
6c30510910f5b4d215704b3b2b091161,1169
6c30b488cb5cc67b2731e01894825ed6,154
6c30e2815eb0730bf19b705661fc46e6,435
6c3135486d8821b2877a0f8d92095a6d,790
6c32bbf8f06e00eccc363629a0ec6383,823
6c34149971656b37763f96b5827de8dd,167
6c3416485c9a6bcd0118e636c4083591,61.3
6c352b528099b507dd4b05c4b4c79a06,560
6c353b764e0d5e28cb2852e8e8603def,142
6c355e2913545fa6f72c40cbca57729e,1555
6c3682387b03809f0cdff2ef08a7cc17,905
6c36ce692e5f1eac162de71b7e369805,49.7
6c3753f7fbeb117d143039b581ad02e8,2222
6c37a73c622940bb9dee7b76f6d4058d,1355
6c37e2e64af539d44ec739bed4ff2b74,1969
6c3808960b526766ea7a00ae22c020ab,1112
6c38873735e3d660d0fd6e86d1cc5bf7,428
6c38cc0437106405b2e22f6c3ada72e4,482
6c3a3ae2b1580cb06944870e258eec3e,1021
6c3b48207e30c29cf9d521795daaa5e7,634
6c3b9813e98d409d3af5da143efbd2d7,160
6c3ebcad285020fe222c1bff5a23b15c,1254
6c40af4bcbf19655a93e8d2cc37ac57f,630
6c41509ceedbdcbff1e2b9aff7e2dc16,1911
6c42561edb555b388b19e7bd2abb27b5,1002
6c425fa161548ce6dcea1ea86b1a65d8,154
6c42710103edec4820898e5084c770a5,224
6c42e7be04d9ebf21c409e265ef01c5d,210
6c44f75ed9c6c59ab4d2e30076330768,1817
6c45e2d6cf05790573c8247e28c24a91,147
6c460532021f5ccc4559bd6b46086408,795
6c483afc20c0d15a5d0d7d35e2aa6231,136
6c49d31e69b107dfcd20d06bf4141749,399
6c4a7301e854d61f245807b71ec7642b,66.7
6c4b00d2f2c7cbac0902dd6367da9f97,2942
6c4e1e1b0508d7c73164b8890daa28c6,240
6c4e90e5210c8bb1f66613dc9a932010,540
6c509b69d13782c154a9e4ab698f5605,36.2
6c5139dc6f51884e3aef7c8359d820c5,256
6c51f58aa6e93a65c7002b68ba2806cd,704
6c5222e0550b757a63908aa2f0cacf95,90.3
6c529370da5caa0a00a077160dc16b01,1171
6c53d99b0ba56006da10a8213850e9ac,383
6c5560ced6024f245a79e10108dee769,462
6c55bf4d09523cf2a72a452cdc0f0a80,249
6c5668e3fb9c385112fb6ab07093253e,92.3
6c5727658a49990433c383e058dd39e4,751
6c573838baa815157de3db3fafbd60a5,99.9
6c575369cec00e2f8bd918f14c1fc0fa,165
6c578cefe8f43f6e1394ded9f6f537c5,2342
6c57b7e61cc0daf0946ad4dcaac70b20,355
6c582a1d03722135e181ae0c4203ef71,2576
6c589cce00692bb7fbd49d0eac280b17,1167
6c592894a10d4bab518bf4aad80515d8,1208
6c596fc6f412dc68ef8d18c721687a20,533
6c59866fa177b6a7321592a88b0dc718,534
6c5cccf873a409e565ece5d56bf5a49a,262
6c5d2796918878bf21ba842f8df0b57a,1611
6c5ded71cfa7471ced232b2cee03ff8c,600
6c5df19e668b79ccf854d8fd72a105ae,168
6c5eb0920626d3ff5588d03d6f2d4936,114
6c601e45c13b22fa58a1e290b4b14d8f,3482
6c6035b5c538935be5381cff46351355,409
6c611d177ef47b4d67080071684f3da3,1303
6c626fb49235255bbb0d81f5e8785aa0,598
6c62b87c92fad9d97f686af40cb5bfd1,3025
6c636e8cee90bf0aac0ec71c90f873e3,520
6c638080e010689db7a95bf97fc18727,718
6c6611e4aee0751993e7d535c51ecb68,246
6c673e7f0e59af3f88e62db4bde6b126,1345
6c6803a80161b45ad151601b21ba647f,37.8
6c680c441a53c52610b5abd41e2b8ce6,61.9
6c682aa3032d2639e12a64b3c2a907b7,128
6c68a23b65de2e78101213c5c3a93cbb,383
6c690f3acecd6d2c000b1a67a1a699c3,924
6c6971df6cfa20527e3e3d32aded78b1,3479
6c6abb921625dd44d3d406ce4b890cac,587
6c6ad994709e497d8bbc043b3d9884ba,1293
6c6b9c17b42386d2ebd32f39c03104ad,7.6
6c6c1cd344b7aa200899204dec8c4a19,305
6c6d1b045ed162d4a8fcee338027f79d,168
6c6dad92bd68fb80a8f11e4befd41d36,16.2
6c6de9251e9be0fba786819778705796,958
6c6e0980a0b7646b5ccc523ced08876b,474
6c6e45db63667bd55633d47a10d77607,35.8
6c6e590c8ce02ecc30bef8bd3b34d82f,967
6c6f13dc40d95be45c76aad771245a15,1353
6c6f90f3d428175f9e09d7f0d4ac4ed5,398
6c6fa28d797aaeb6b8d918dc102129af,35.4
6c6fb863836061fb0284ba91069f6200,706
